Comunidades y ciudades autónomas;Sexo;País de nacimiento;Grupo quinquenal de edad;Periodo;Total
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2014S2;296
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2014S1;168
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2013S2;215
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2013S1;92
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2012S2;387
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2012S1;417
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2011S2;643
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2011S1;467
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2010S2;532
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2010S1;493
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2009S2;546
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2009S1;615
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2008S2;998
01 Andalucía;Hombres;Extranjero;De 15 a 19 años  ;2008S1;1239
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2022S1;2417
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2021S2;1758
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2021S1;1217
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2020S2;1394
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2020S1;1290
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2019S2;1992
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2019S1;1857
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2018S2;1805
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2018S1;1129
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2017S2;1181
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2017S1;734
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2016S2;423
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2016S1;504
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2015S2;419
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2015S1;287
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2014S2;213
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2014S1;276
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2013S2;-18
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2013S1;-237
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2012S2;54
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2012S1;162
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2011S2;448
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2011S1;389
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2010S2;398
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2010S1;442
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2009S2;405
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2009S1;736
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2008S2;1585
01 Andalucía;Hombres;Extranjero;De 20 a 24 años;2008S1;2520
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2022S1;2616
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2021S2;1793
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2021S1;1239
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2020S2;1640
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2020S1;1375
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2019S2;2279
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2019S1;2199
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2018S2;1990
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2018S1;1265
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2017S2;1188
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2017S1;725
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2016S2;590
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2016S1;511
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2015S2;401
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2015S1;178
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2014S2;-20
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2014S1;-107
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2013S2;-746
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2013S1;-988
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2012S2;-471
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2012S1;-316
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2011S2;23
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2011S1;-120
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2010S2;-19
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2010S1;100
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2009S2;112
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2009S1;518
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2008S2;1604
01 Andalucía;Hombres;Extranjero;De 25 a 29 años;2008S1;2686
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2022S1;1888
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2021S2;1120
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2021S1;513
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2020S2;1366
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2020S1;1059
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2019S2;1619
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2019S1;1573
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2018S2;1390
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2018S1;651
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2017S2;492
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2017S1;154
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2016S2;37
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2016S1;117
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2015S2;-90
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2015S1;-147
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2014S2;-270
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2014S1;-522
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2013S2;-1282
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2013S1;-1466
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2012S2;-960
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2012S1;-519
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2011S2;-266
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2011S1;-298
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2010S2;-350
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2010S1;-81
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2009S2;-195
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2009S1;278
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2008S2;991
01 Andalucía;Hombres;Extranjero;De 30 a 34 años;2008S1;1878
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2022S1;1121
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2021S2;608
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2021S1;115
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2020S2;736
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2020S1;422
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2019S2;1143
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2019S1;910
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2018S2;570
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2018S1;-150
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2017S2;-153
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2017S1;-431
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2016S2;-280
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2016S1;-305
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2015S2;-324
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2015S1;-368
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2014S2;-472
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2014S1;-614
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2013S2;-1045
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2013S1;-1134
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2012S2;-848
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2012S1;-517
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2011S2;-157
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2011S1;-152
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2010S2;-158
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2010S1;-33
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2009S2;-214
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2009S1;67
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2008S2;555
01 Andalucía;Hombres;Extranjero;De 35 a 39 años;2008S1;1175
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2022S1;525
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2021S2;233
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2021S1;-214
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2020S2;408
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2020S1;223
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2019S2;707
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2019S1;475
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2018S2;224
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2018S1;-433
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2017S2;-390
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2017S1;-465
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2016S2;-270
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2016S1;-227
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2015S2;-251
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2015S1;-341
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2014S2;-376
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2014S1;-452
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2013S2;-620
01 Andalucía;Hombres;Extranjero;De 40 a 44 años;2013S1;-694
